Read times - Current graph;Current(A) - Current graph
0;0,027
1;0,027
2;0,027
3;0,027
4;0,027
5;0,027
6;0,027
7;0,027
8;0,027
9;0,027
10;0,027
11;0,027
12;0,026
13;0,027
14;0,027
15;0,027
16;0,027
17;0,027
18;0,027
19;0,027
20;0,027
21;0,027
22;0,027
23;0,027
24;0,027
25;0,027
26;0,027
27;0,027
28;0,027
29;0,027
30;0,027
31;0,027
32;0,027
33;0,027
34;0,027
35;0,027
36;0,027
37;0,027
38;0,027
39;0,027
40;0,027
41;0,027
42;0,027
43;0,027
44;0,027
45;0,027
46;0,027
47;0,027
48;0,027
49;0,027
50;0,027
51;0,027
52;0,027
53;0,027
54;0,027
