Read times - Current graph;Current(A) - Current graph
0;0,033
1;0,05
2;0,029
3;0,053
4;0,035
5;0,029
6;0,03
7;0,034
8;0,051
9;0,034
10;0,058
11;0,029
12;0,065
13;0,034
14;0,029
15;0,03
16;0,029
17;0,029
18;0,035
19;0,059
20;0,029
21;0,034
22;0,038
23;0,034
24;0,046
25;0,034
26;0,062
27;0,029
28;0,056
29;0,034
30;0,034
31;0,03
32;0,054
33;0,029
34;0,04
35;0,061
36;0,029
37;0,029
38;0,034
39;0,06
40;0,033
41;0,05
42;0,029
43;0,036
44;0,035
45;0,029
46;0,033
47;0,033
48;0,048
49;0,035
50;0,058
51;0,029
52;0,034
53;0,035
