Read times - Current graph;Current(A) - Current graph
0;0,033
1;0,034
2;0,034
3;0,029
4;0,029
5;0,04
6;0,034
7;0,029
8;0,029
9;0,029
10;0,029
11;0,034
12;0,029
13;0,028
14;0,034
15;0,034
16;0,031
17;0,033
18;0,029
19;0,029
20;0,035
21;0,029
22;0,029
23;0,034
24;0,031
25;0,033
26;0,029
27;0,029
28;0,035
29;0,028
30;0,029
31;0,035
32;0,034
33;0,029
34;0,029
35;0,038
36;0,029
37;0,029
38;0,036
39;0,031
40;0,029
41;0,029
42;0,034
43;0,029
44;0,029
45;0,034
46;0,034
47;0,03
48;0,029
49;0,029
50;0,034
51;0,035
52;0,029
53;0,029
