Read times - Current graph;Current(A) - Current graph
107;0,029
108;0,028
109;0,029
110;0,029
111;0,028
112;0,029
113;0,029
114;0,03
115;0,028
116;0,029
117;0,028
118;0,029
119;0,029
120;0,028
121;0,029
122;0,029
123;0,028
124;0,029
125;0,018
126;0,009
127;0,01
128;0,009
129;0,01
130;0,009
131;0,039
132;0,029
133;0,029
134;0,029
135;0,029
136;0,029
137;0,029
138;0,029
139;0,029
140;0,029
141;0,029
142;0,029
143;0,029
144;0,029
145;0,029
146;0,029
147;0,029
148;0,029
149;0,028
150;0,019
151;0,01
152;0,01
153;0,009
154;0,009
155;0,009
156;0,029
157;0,029
158;0,028
159;0,029
160;0,029
161;0,029
162;0,028
163;0,029
164;0,029
165;0,029
166;0,029
167;0,029
168;0,029
169;0,029
170;0,029
171;0,028
172;0,028
173;0,029
174;0,029
175;0,01
176;0,01
177;0,009
178;0,01
179;0,01
180;0,04
181;0,009
182;0,01
183;0,01
184;0,009
185;0,009
186;0,015
