Read times - Current graph;Current(A) - Current graph
0;0,029
1;0,028
2;0,029
3;0,031
4;0,029
5;0,029
6;0,029
7;0,029
8;0,029
9;0,029
10;0,029
11;0,029
12;0,028
13;0,029
14;0,029
15;0,028
16;0,029
17;0,029
18;0,034
19;0,029
20;0,028
21;0,029
22;0,029
23;0,029
24;0,029
25;0,029
26;0,029
27;0,029
28;0,029
29;0,029
30;0,029
31;0,029
32;0,029
33;0,033
34;0,029
35;0,029
36;0,029
37;0,033
38;0,028
39;0,029
40;0,029
41;0,029
42;0,029
43;0,029
44;0,029
45;0,029
46;0,029
47;0,029
48;0,031
49;0,029
50;0,029
51;0,029
52;0,029
53;0,029
54;0,029
55;0,029
