Read times - Current graph;Current(A) - Current graph
69;0,037
70;0,037
71;0,037
72;0,038
73;0,038
74;0,038
75;0,039
76;0,038
77;0,037
78;0,037
79;0,038
80;0,038
81;0,039
82;0,039
83;0,039
84;0,039
85;0,039
86;0,039
87;0,009
88;0,039
89;0,039
90;0,039
91;0,039
92;0,039
93;0,039
94;0,039
95;0,039
96;0,039
97;0,039
98;0,039
99;0,039
100;0,039
101;0,038
102;0,038
103;0,039
104;0,039
105;0,038
106;0,038
107;0,039
108;0,039
109;0,038
110;0,038
111;0,039
112;0,039
113;0,038
114;0,039
115;0,039
116;0,039
117;0,039
118;0,039
119;0,039
120;0,038
121;0,038
122;0,038
123;0,038
124;0,038
125;0,038
126;0,038
127;0,036
128;0,037
129;0,037
130;0,037
131;0,037
132;0,038z
