Read times - Current graph;Current(A) - Current graph
0;0,028
1;0,028
2;0,029
3;0,028
4;0,028
5;0,029
6;0,028
7;0,029
8;0,029
9;0,029
10;0,028
11;0,028
12;0,028
13;0,029
14;0,029
15;0,029
16;0,029
17;0,028
18;0,029
19;0,029
20;0,028
21;0,028
22;0,029
23;0,029
24;0,029
25;0,029
26;0,028
27;0,029
28;0,028
29;0,029
30;0,029
31;0,028
32;0,028
33;0,029
34;0,028
35;0,029
36;0,028
37;0,028
38;0,028
39;0,028
40;0,029
41;0,029
42;0,028
43;0,028
44;0,029
45;0,029
46;0,029
47;0,028
48;0,028
49;0,029
50;0,028
51;0,029
52;0,029
53;0,028
54;0,028
